Labels,Feature_0,Product_Name,Feature_1,Feature_2
1.0,system breeze set amazed easy use everything questions jokes music next step connect house tv,Echo WhiteEcho White,0.21666666666666667,5.0
1.0,gift senior citizen fan computers technology minutes instruction picked right much fun could loaded games also learned reach internet information subjects interest happy gift,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.4619047619047619,5.0
1.0,love voice activated device great sound single speaker,Echo WhiteEcho White,0.4071428571428572,5.0
1.0,nice tablet beginner casual user basic functions,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.033333333333333284,4.0
1.0,amazon echo great device assist home automation use turn lights arm security camera set thermostats also great amazon prime music,Amazon Fire Hd  Tablet WiFi  Gb Special Offers  Silver AluminumAmazon Fire Hd  Tablet WiFi  Gb Special Offers  Silver Aluminum,0.8,5.0
1.0,got grandparents easy set excited,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.4041666666666667,4.0
1.0,met exceeded expectations easy use perfect size arrived expected excellent value,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.5833333333333333,5.0
1.0,third fire tablet bought larger size nice,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.2,5.0
1.0,issues library check amazon,Brand New Amazon Kindle Fire gb  Ips Display Tablet Wifi  Gb Blue,0.0,5.0
1.0,satisfied tablet priced really cheaply decent little tablet,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.1597222222222222,4.0
1.0,bought mom type adjustable backlight easy reading,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.43333333333333335,5.0
1.0,easy use loves green case durable great gift,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.3444444444444445,5.0
1.0,read lot loved kindle paperwhite used time think could get better read kindle oasis sounded great price freaking kept thinking really need well finally talked trying taking box holding sold lightweight easy hold screen wonderful charging case convenient easy take put really looks nice never keep reading keeps kindle oasis light glad went bought want read ever always purse believe made money least glad purchased avid reader,Kindle Oasis Ereader with Leather Charging Cover  Merlot  HighResolution Display  ppi WiFi  Includes Special Offers,0.4144444444444445,5.0
1.0,purchased tablet nephew loves works great everything needs reading school work entertainment,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.8,5.0
1.0,purchased book reading works well tablet thinking would full replacement old ipad working well one,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.225,5.0
1.0,love size wellit screen words appear crisp easy read,Amazon Fire Hd  in Tablet gb Black Bsztbk th Gen  AndroidAmazon Fire Hd  in Tablet gb Black Bsztbk th Gen  Android,0.3944444444444444,5.0
1.0,great item use kids like adding memory needed love kindle fire aspectssome items read text speechi think kids like camera old kindle fires,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.4666666666666667,4.0
1.0,bought gift daughter also received another person however still enjoyed,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.5,5.0
1.0,happy kindle fire beyond able read books sorts things able download huge variety apps also holds charge long size perfect portable yet screen much larger smartphone love would definitely recommend tablet others,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.4055555555555556,5.0
1.0,bought almost year old niece dad told loves really cute educational games pretty much indestructible case reason give stars charger broken already,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.15,4.0
1.0,far functionality works well surf internet match movies check social media anything else tablet supposed app store good variety apps many itunes store plenty variety reason knock star constant ads know amazon product ads get little annoying,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.04940476190476189,4.0
1.0,purchased christmas sale works great need liked much bought two family,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.5333333333333333,4.0
1.0,purchased childs tablet could happier buying thinking would cutrate ok small child play long car rides rainy days despite low cost unimpressive stats surprised quality screen perfectly adequate games kids shows parental controlschild profile settings excellent stereo speakers crush built speakers ipad air drawbacks found far power related battery seems drain fairly quickly would consider normal use included charger typical usb type takes long time fully charge tablet suspect chargers limitation rather tablets may charge better different power supplyi wish purchased two tablets price sale would kept second use road,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.15625000000000006,4.0
1.0,fire tablet great especially price amazon prime member even better read books free using amazons lending library watch prime videos free even get google play store download apps google fire make sure get micro sd card right away gb internal storage fills quickly,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.3576719576719577,5.0
1.0,tablet way expected purchased year old daughter play minecraft hasnt complained yet,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,-0.1,5.0
1.0,grand kids love picked network short order like idea ipad like adults well implemented,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.3333333333333333,5.0
1.0,bought tablet wife likes plays games checks email goes facebook high end users would satisfied tablet overall excellent value,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.415,4.0
1.0,everything want pad price purchase point easy set,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.43333333333333335,4.0
1.0,capacity limit gripe connects quickly easily wifi remembers wifi passwords erase books many free especially ones never read high school check email even works bluetooth keyboard cant beat price,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.2986666666666667,4.0
1.0,bought tablet granddaughterit perfect loves,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,1.0,5.0
1.0,decided get echo kept reading everything alexa could disappointed controls tv security front door shopping lists ease understands unlike siri love,Amazon Fire TvAmazon Fire Tv,-0.125,5.0
1.0,kept kids entertained maybe little entertained sadly want much else,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,-0.1625,4.0
1.0,price well worth tablet works great definitely better tablets price perfect reading playing games easy use,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.6066666666666667,5.0
1.0,bought black friday exceptional deal son loves,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.25,5.0
1.0,awesome tablet fast great display apps need personal entertainment look great tablet entertainment best want tablet working applications one aware buy tablet want tons entertainment also larger processor internal memory external memory keep photos unbelievable strongly recommend work entertainment,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.3527777777777778,5.0
1.0,great buy bought replace first generation kindle,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.525,5.0
1.0,personally would say buy newer inch fire get money getting older one,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.08333333333333333,3.0
1.0,good reader bought sale excellent value,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.85,5.0
1.0,really love echo love voice controls ease life alexa,Amazon Fire TvAmazon Fire Tv,0.5,5.0
1.0,enjoying new kindle paperwhite far everything perfect,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.4340909090909091,5.0
1.0,first generation nook way expecting plus prime membership worth shipping,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.275,5.0
1.0,christmas gift daughter loves,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.0,5.0
1.0,purchased neighbor kids love kids enjoy endless hours fun simply speaking alexa cannot believe speaks back answers questions enjoyed product much,Amazon Fire TvAmazon Fire Tv,0.221875,5.0
1.0,tablet great nice display get amazon ecosystem also download google play easily best worlds,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.7999999999999999,5.0
1.0,started dot glad upgraded sound quality way better hears call name big difference,Amazon Fire TvAmazon Fire Tv,0.35,4.0
1.0,find helpful finding music years ago also find useful getting weather downeycalifornia,Echo WhiteEcho White,0.3,5.0
1.0,screen big kindle easy navigate amazon prime definitely makes worth investment,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.18333333333333332,5.0
1.0,purchased nephew christmas loved really enjoy playing games reading books,AllNew Fire HD  Tablet  HD Display WiFi  GB  Includes Special Offers Magenta,0.55,5.0
1.0,really low price amazing little pad quad chip,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.13750000000000004,4.0
1.0,love kindle mother table died brought get calls time help figure everything,Brand New Amazon Kindle Fire gb  Ips Display Tablet Wifi  Gb Blue,0.5,5.0
1.0,gave grandkidsages christmas loved,Brand New Amazon Kindle Fire gb  Ips Display Tablet Wifi  Gb Blue,0.7,5.0
1.0,birthday present sister trouble getting set use happy find one gb inadequate gb purpose buying test cheap machine case procedure installing googles play store success got fire hd,Fire Kids Edition Tablet  Display WiFi  GB Green KidProof Case,0.26,4.0
1.0,easy tell alexa play spotify list also great weather news,Echo WhiteEcho White,0.6166666666666667,4.0
1.0,links local library good read sunlight check web emails close tablet figure apps work amazon,Brand New Amazon Kindle Fire gb  Ips Display Tablet Wifi  Gb Blue,0.35,4.0
1.0,love ease setup accuracy voice recognition new favorite aspect product building rules iftt solutions available great flexible product way music speaker,Amazon Fire TvAmazon Fire Tv,0.4672727272727272,5.0
1.0,impulse buy great choice super useful everyday,Amazon Fire TvAmazon Fire Tv,0.3083333333333333,4.0
1.0,easy hook learning curve ask questions,Echo WhiteEcho White,0.43333333333333335,4.0
1.0,gift great nephew yo love tablets got one play much mom allows,Amazon Kindle Paperwhite  eBook reader   GB   monochrome Paperwhite  touchscreen  WiFi  black,0.5,5.0
1.0,kids love great christmas present even apple product,Brand New Amazon Kindle Fire gb  Ips Display Tablet Wifi  Gb Blue,0.43333333333333335,5.0
1.0,getting kindle figured far like see,Fire Tablet  Display WiFi  GB  Includes Special Offers Magenta,0.1,5.0
